기간,공장,공정코드,기계코드,총_생산수량,총_양품수량,전체_수율(%),운영일수,이론상_총_생산량,가동률(%)
2023-01-04,C관(2공장),[10] 사출조립,조립51호기,18138.0,17525.0,96.62,1,43200.0,41.99
2023-01-04,C관(2공장),[10] 사출조립,조립52호기,34935.0,32615.0,93.36,1,43200.0,80.87
2023-01-04,C관(2공장),[10] 사출조립,조립53호기,57159.0,53742.0,94.02,1,43200.0,132.31
2023-01-04,C관(2공장),[10] 사출조립,조립54호기,7406.0,5739.0,77.49,1,43200.0,17.14
2023-01-04,C관(2공장),[10] 사출조립,조립55호기,60975.0,52877.0,86.72,1,43200.0,141.15
2023-01-04,C관(2공장),[10] 사출조립,조립57호기,50557.0,41313.0,81.72,1,43200.0,117.03
2023-01-04,C관(2공장),[10] 사출조립,조립58호기,30724.0,21639.0,70.43,1,43200.0,71.12
2023-01-04,C관(2공장),[20] 분리,분리12호기,23171.0,16385.0,70.71,1,0.0,0.0
2023-01-04,C관(2공장),[20] 분리,분리15호기,40667.0,34489.0,84.81,1,0.0,0.0
2023-01-04,C관(2공장),[20] 분리,분리16호기,33842.0,26697.0,78.89,1,61715.0,54.84
2023-01-04,C관(2공장),[20] 분리,분리17호기,30948.0,19440.0,62.82,1,61715.0,50.15
2023-01-04,C관(2공장),[20] 분리,분리18호기,32236.0,25197.0,78.16,1,61715.0,52.23
2023-01-04,C관(2공장),[20] 분리,분리19호기,23137.0,18177.0,78.56,1,61715.0,37.49
2023-01-04,C관(2공장),[20] 분리,분리20호기,30559.0,21208.0,69.4,1,61715.0,49.52
2023-01-04,C관(2공장),[20] 분리,분리21호기,49723.0,34397.0,69.18,1,61715.0,80.57
2023-01-04,C관(2공장),[20] 분리,분리22호기,21262.0,15410.0,72.48,1,61715.0,34.45
2023-01-04,C관(2공장),[20] 분리,분리23호기,35143.0,28369.0,80.72,1,61715.0,56.94
2023-01-04,C관(2공장),[20] 분리,분리24호기,22271.0,19058.0,85.57,1,61715.0,36.09
2023-01-04,C관(2공장),[20] 분리,분리25호기,12881.0,9501.0,73.76,1,61715.0,20.87
2023-01-04,C관(2공장),[20] 분리,분리26호기,44240.0,30651.0,69.28,1,54000.0,81.93
2023-01-04,C관(2공장),[20] 분리,분리27호기,45429.0,36030.0,79.31,1,54000.0,84.13
2023-01-04,C관(2공장),[20] 분리,분리28호기,46617.0,34734.0,74.51,1,54000.0,86.33
2023-01-04,C관(2공장),[20] 분리,분리29호기,45652.0,31968.0,70.03,1,54000.0,84.54
2023-01-04,C관(2공장),[20] 분리,분리30호기,24115.0,15707.0,65.13,1,54000.0,44.66
2023-01-04,C관(2공장),[20] 분리,분리31호기,36292.0,24803.0,68.34,1,54000.0,67.21
2023-01-04,C관(2공장),[20] 분리,분리32호기,50537.0,31540.0,62.41,1,54000.0,93.59
2023-01-04,C관(2공장),[20] 분리,분리33호기,38550.0,25400.0,65.89,1,54000.0,71.39
2023-01-04,C관(2공장),[20] 분리,분리34호기,34677.0,20357.0,58.7,1,54000.0,64.22
2023-01-04,C관(2공장),[20] 분리,분리35호기,40686.0,30158.0,74.12,1,54000.0,75.34
2023-01-04,C관(2공장),[20] 분리,분리36호기,44445.0,34548.0,77.73,1,54000.0,82.31
2023-01-04,C관(2공장),[20] 분리,분리37호기,38442.0,27466.0,71.45,1,54000.0,71.19
2023-01-04,C관(2공장),[20] 분리,분리43호기,36691.0,25937.0,70.69,1,54000.0,67.95
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,실리콘워터배스2-16호기,73745.0,72895.0,98.85,1,0.0,0.0
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-11호기,82323.0,82200.0,99.85,1,150000.0,54.88
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-12호기,87974.0,85735.0,97.45,1,150000.0,58.65
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-13호기,119362.0,111695.0,93.58,1,150000.0,79.57
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-14호기,66274.0,66015.0,99.61,1,150000.0,44.18
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-1호기,28506.0,28395.0,99.61,1,120000.0,23.76
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-2호기,25689.0,25665.0,99.91,1,120000.0,21.41
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-3호기,31104.0,31055.0,99.84,1,120000.0,25.92
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-4호기,34756.0,34730.0,99.93,1,120000.0,28.96
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-6호기,31838.0,31825.0,99.96,1,30000.0,106.13
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-7호기,64558.0,64485.0,99.89,1,120000.0,53.8
2023-01-04,C관(2공장),[45] 하이드레이션/전면검사,워터배스2-8호기,62776.0,62710.0,99.89,1,120000.0,52.31
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사27호기,5445.0,5355.0,98.35,1,0.0,0.0
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사30호기,46275.0,42025.0,90.82,1,66462.0,69.63
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사31호기,17205.0,15780.0,91.72,1,0.0,0.0
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사32호기,7045.0,6895.0,97.87,1,0.0,0.0
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사34호기,51770.0,48500.0,93.68,1,78546.0,65.91
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사35호기,24510.0,22960.0,93.68,1,78546.0,31.2
