공장,공정코드,기계코드,저가동설비기준,기간 내 가동률(%),과거 생산 품목 상세 이력
A관(1공장),[10] 사출조립,조립31호기,50%,35.63%,"분류: , 함수율: 
  - 품명: MD

분류: 1-Day_Sph, 함수율: 55.0
  - 품명: 1-Day_Metha

분류: 1-Day_Sph, 함수율: 58.0
  - 품명: 1-day_58_Kontaktni-HA

분류: FRP_Sph, 함수율: 38.0
  - 품명: (UV_NEW)CS30_8.60

분류: FRP_Sph, 함수율: 43.0
  - 품명: (NEW)S43-HD-Dry-14.2, (NEW)S43-HD-Dry-14.4

분류: FRP_Sph, 함수율: 55.0
  - 품명: Metha_55, S55_8.60, S55_8.80, US55-2(M)"
A관(1공장),[10] 사출조립,조립3호기,50%,43.14%,"분류: , 함수율: 
  - 품명: BG, BM

분류: 1-Day_Sph, 함수율: 55.0
  - 품명: 1-Day_Metha, 1D_55 clear feliamo(투명)

분류: FRP_M/F, 함수율: 38.0
  - 품명: HD-X38_스크류

분류: FRP_M/F, 함수율: 55.0
  - 품명: HD-X55_소사각

분류: FRP_Sph, 함수율: 38.0
  - 품명: (NEW)S38-HD-Dry-14.0, CS30-Dry, S38-2_Blue

분류: FRP_Sph, 함수율: 55.0
  - 품명: Metha_55, S55-Dry, S55_8.60, S55_8.80, US55-2(M)

분류: FRP_Toric, 함수율: 38.0
  - 품명: T38, T38_(UV포함)

분류: FRP_Toric, 함수율: 55.0
  - 품명: T55_소사각

분류: Si_FRP_M/F, 함수율: 45.0
  - 품명: O2O2 M_UV_Multifocal

분류: Si_FRP_Sph, 함수율: 45.0
  - 품명: O2O2 M_UV_Spherical

분류: Si_FRP_Toric, 함수율: 45.0
  - 품명: O2O2 M_UV_Toric"
A관(1공장),[10] 사출조립,조립4호기,50%,34.31%,"분류: , 함수율: 
  - 품명: SMD

분류: 1-Day_Sph, 함수율: 58.0
  - 품명: Clalen oneday A

분류: Si_1-Day_M/F, 함수율: 45.0
  - 품명: O2O2_Multifocal_K2_SMD, O2O2_Multifocal_K2_SMDH_OPHTALMIC

분류: Si_1-Day_Sph, 함수율: 45.0
  - 품명: O2O2 Spherical(DK70)_K2-SMD

분류: Si_1-Day_Toric, 함수율: 45.0
  - 품명: O2O2 D_UV_Toric_SMD"
A관(1공장),[10] 사출조립,조립5호기,50%,46.47%,"분류: , 함수율: 
  - 품명: NF, SHM

분류: 1-Day_Sph, 함수율: 55.0
  - 품명: 1-Day_Metha, 1D_55 clear feliamo(투명)

분류: 1-Day_Sph, 함수율: 58.0
  - 품명: 1-day_58_Kontaktni-HA

분류: FRP_M/F, 함수율: 55.0
  - 품명: Bi-focal_8.40

분류: FRP_Sph, 함수율: 38.0
  - 품명: (NEW)S38-Dry-14.2, (NEW)S38-HD-Dry-14.0, (UV_NEW)CS30_8.60, S38-2_Blue, Sincere_2week UV_Clear

분류: FRP_Sph, 함수율: 43.0
  - 품명: (NEW)S43-HD-Dry-14.2, (NEW)S43-HD-Dry-14.4, S43-Dry-14.5

분류: FRP_Sph, 함수율: 55.0
  - 품명: Bandage_소사각, Metha_55, S55-Dry, S55_8.60, US55-2(M)

분류: Si_FRP_M/F, 함수율: 45.0
  - 품명: O2O2 M_UV_Multifocal, Silicone relax

분류: Si_FRP_Sph, 함수율: 45.0
  - 품명: Keraband M_2weeks, O2O2 M_UV_Spherical

분류: Si_FRP_Toric, 함수율: 45.0
  - 품명: O2O2 M_UV_Toric"
A관(1공장),[10] 사출조립,조립6호기,50%,30.06%,"분류: , 함수율: 
  - 품명: SMD

분류: 1-Day_Sph, 함수율: 58.0
  - 품명: Clalen oneday A

분류: FRP_Sph, 함수율: 43.0
  - 품명: (NEW)S43-HD-Dry-14.2

분류: Si_1-Day_M/F, 함수율: 45.0
  - 품명: O2O2_Multifocal_K2_SMD

분류: Si_1-Day_Sph, 함수율: 45.0
  - 품명: O2O2 Spherical(DK70)_K2-SMD

분류: Si_1-Day_Toric, 함수율: 45.0
  - 품명: O2O2 D_Toric_SMDH, O2O2 D_UV_Toric_SMD

분류: Si_FRP_M/F, 함수율: 45.0
  - 품명: O2O2 M_UV_Multifocal"
A관(1공장),[10] 사출조립,조립7호기,50%,32.95%,"분류: , 함수율: 
  - 품명: SMD, SMH

분류: 1-Day_Sph, 함수율: 58.0
  - 품명: Clalen oneday A

분류: Si_1-Day_M/F, 함수율: 45.0
  - 품명: O2O2_Multifocal_K2_SMD

분류: Si_1-Day_Sph, 함수율: 45.0
  - 품명: O2O2 Spherical(DK70)_K2-SMD

분류: Si_1-Day_Toric, 함수율: 45.0
  - 품명: O2O2 D_Toric_SMDH, O2O2 D_UV_Toric_SMD"
A관(1공장),[20] 분리,분리14호기,50%,44.42%,"분류: 1-Day_Sph, 함수율: 55.0
  - 품명: 1-Day_Metha

분류: FRP_M/F, 함수율: 55.0
  - 품명: Bi-focal_8.40

분류: FRP_Sph, 함수율: 38.0
  - 품명: (UV_NEW)CS30_8.60, Sincere_2week UV_Clear

분류: FRP_Sph, 함수율: 55.0
  - 품명: Metha, S55, US55-2(M)"
A관(1공장),[20] 분리,분리42호기(초음파),50%,22.85%,"분류: FRP_Toric, 함수율: 55.0
  - 품명: T55_소사각

분류: Si_FRP_Color_Sph, 함수율: 45.0
  - 품명: O2O2 M_Mysti Khaki EX, O2O2 M_Natural Brown EX, O2O2 M_Natural Chocolat EX, O2O2 M_Natural Gray EX

분류: Si_FRP_M/F, 함수율: 45.0
  - 품명: O2O2 M_UV_Multifocal, Silicone relax

분류: Si_FRP_Sph, 함수율: 45.0
  - 품명: Keraband M_2weeks, O2O2 M_UV_Spherical

분류: Si_FRP_Toric, 함수율: 45.0
  - 품명: O2O2 M_UV_Toric"
A관(1공장),[45] 하이드레이션/전면검사,1공장 실리콘수화기,50%,0.0%,"분류: FRP_Color_Sph, 함수율: 38.0
  - 품명: Choco Ribbon_PIA_M_(중), From M_(UV)Latte Milktea_Lilou_38% 중사각

분류: FRP_Color_Sph, 함수율: 43.0
  - 품명: Bella Glow_중사각, Clalen 1M_Planet_Gray Moon

분류: FRP_Sph, 함수율: 55.0
  - 품명: Metha_55_소사각

분류: Si_1-Day_M/F, 함수율: 45.0
  - 품명: ZOOM D_ADD+2.00

분류: Si_FRP_Color_Sph, 함수율: 45.0
  - 품명: Gemhour SiHy M_Glow Black_THEIA

분류: Si_FRP_Color_Sph, 함수율: 
  - 품명: O2O2 M_Mysti Gray EX_(중), O2O2 M_Mysti Khaki EX_(중), O2O2 M_Natural Brown EX_(중), O2O2 M_Natural Chocolat EX_(중), O2O2 M_Natural Gray EX_(중)

분류: Si_FRP_M/F, 함수율: 45.0
  - 품명: O2O2 M_Multifocal(Dk70)_K2_SMD_(소), Silicone relax_소사각

분류: Si_FRP_M/F, 함수율: 
  - 품명: O2O2 M_UV_Multifocal_(소)

분류: Si_FRP_Sph, 함수율: 45.0
  - 품명: O2O2 M_Spherical(DK70)_K2-SMD_(소), O2O2 M_Spherical(DK70)_K2-SMD_(중), O2O2 M_UV_Spherical_(소), O2O2 M_UV_Spherical_(중), Silicon Hydrogel_소사각

분류: Si_FRP_Sph, 함수율: 
  - 품명: Keraband M_2weeks_(소)

분류: Si_FRP_Toric, 함수율: 45.0
  - 품명: O2O2 M_UV_Toric_(소), O2O2 M_UV_Toric_SMD_(소)"
A관(1공장),[45] 하이드레이션/전면검사,워터배스1-1호기,50%,24.64%,"분류: 1-Day_Color_Sph, 함수율: 55.0
  - 품명: Alcon D_Allure Hazel_W3C(APAC), Astra Estelle Gray, BELLA D_EARTH 55%, BELLA D_MARS 55%

분류: FRP_Color_Sph, 함수율: 38.0
  - 품명: ANW M_Bam Brown_Kristin_(중), Affogato_PIA_M_(중)(Y), Affogato_PIA_M_중사각, Almond Poodle_PIA_M_(중), Almond Poodle_PIA_M_(중)(Y), Aquarella_Arara Blue_원형, Aquarella_Beleza Gray_원형, Aquarella_Bossa Nova Gray_원형, Aquarella_Dandara Hazel_원형, Baby Espresso_PIA_M_(중), Baby Espresso_PIA_M_중사각(Y), Brown Bunny_PIA_M_(중)(Y), Brown Bunny_PIA_M_중사각, Brulee Pearl_PIA_M_(중), Brulee Pearl_PIA_M_(중)(Y), Choco Ribbon_PIA_M_(중), Clalen 6M_ANYE_38%_(중), Clalen 6M_KUTAO_38%_(중), Clalen 6M_WEIGUANG_38%_(중), Clalen 6M_YOUYU_38%_(중), Coffee Jelly_PIA_M_(중)(Y), Coffee Jelly_PIA_M_중사각, Coral Brown_2T_(PBT)PIA_M_(중)(Y), Cream Rose_PIA_M_(중), Cream beige_(신규)PIA_M, Cream beige_(신규)PIA_M(Y), Cream grege_(신규)PIA_M, Cream grege_(신규)PIA_M(Y), Dark Peony_PIA_M_(중)(Y), Dark Peony_PIA_M_중사각, Date Topaz_PIA_M_(중)(Y), Date Topaz_PIA_M_중사각, Dazzle Beige_2T_(PBT)PIA_M, Dazzle Beige_2T_(PBT)PIA_M(Y), Dazzle Gray_2T_(PBT)PIA_M_(중)(Y), Dazzle Gray_2T_(PBT)PIA_M_중사각, Dollish Brown_PIA_M_(중)(Y), Dollish Brown_PIA_M_중사각, Dollish Gray_PIA_M_(중)(Y), Dollish Gray_PIA_M_중사각, Dream Gray_PIA_M_(중), FLAMINGO_PIA_M_(중)(Y), From M_(UV)Milky Olive_Lilou_38% 중사각, Garnet_PIA_M_(중)(Y), Garnet_PIA_M_중사각, Idol Ring_PIA_M_(중)_14.5, Jelly Quartz_PIA_M_(중), Kilala_38%_M085_원형(6개월)_NEW, Kilala_38%_M106_원형(1년), Lady Black_PIA_M_(중)_14.5, MARIGOLD_PIA_M_중사각, MOODY 6M_Nanodat_G-tangyuan_38%, MOODY 6M_Nanodat_U-suda_38%, MOODY 6M_P-taozi_Nanodots_38%, MOODY 6M_R-shumei_Nanodat_38%, Melty Butter_PIA_M_(중), Mirror Gray_3T_(PBT)PIA_M_(중)(Y), Mirror Gray_3T_(PBT)PIA_M_중사각, Mocha Ring_PIA_M_(중), Moody 6M_G-zhima_Nanodat_38%_(중), Moody 6M_L-bale_Nanodat_38%_(중), Moody 6M_U-buding_Nanodat_38%_(중), Moody 6M_U-ganlan_Nanodat_38%_(중), No.1 M_Hazel(Coral brown)_(원), OCEAN_PIA_M_중사각, Old fashion_(신규)PIA_M, Oolong Tea_PIA_M_(중), Oolong Tea_PIA_M_중사각(Y), Peach Crush_3T_(PBT)PIA_M_(중)(Y), Peach Crush_3T_(PBT)PIA_M_중사각, Pink Bomb_PIA_M_(중), Pink Bomb_PIA_M_(중)(Y), Princess Chocolat_PIA_M_(중)_14.5, RUSTY BEIGE_PIA_M_중사각(Y), RUSTY BROWN_PIA_M_(중)(Y), RUSTY BROWN_PIA_M_중사각, RUSTY GRAY_PIA_M_중사각(Y), Sakura Petal_2T_(PBT)PIA_M_(중)(Y), Sakura Petal_2T_(PBT)PIA_M_중사각, Sakura Smore_PIA_M_(중)(Y), Sakura Smore_PIA_M_중사각, Sincere M_Air Beige_ITFAM_UV_38% 14.2 중사각, Sincere M_Little Brown_ITFAM_UV_38% 14.2 중사각, Sincere M_Neutral Brown_ITFAM_UV_38% 14.2 중사각, Skin Beige_(신규)PIA_M_14.5, Skin Beige_(신규)PIA_M_14.5(Y), Skin Grege_(신규)PIA_M_14.5(Y), Skin Nude Chocolate_(신규)PIA_M_14.5, Strawberry Quartz_PIA_M_(중)(Y), Strawberry Quartz_PIA_M_중사각, Sugar Pearl_PIA_M_(중), Sugar Ribbon_PIA_M_(중), Tangerine Tea_3T_(PBT)PIA_M_(중)(Y), Tangerine Tea_3T_(PBT)PIA_M_중사각, Tarte Tatin_PIA_M_(중), Tarte Tatin_PIA_M_(중)(Y), Tint Brown_1T_(PBT)PIA_M_(중)(Y), Tint Brown_1T_(PBT)PIA_M_중사각, Tiramisu Ring_PIA_M_(중), Tiramisu Ring_PIA_M_중사각(Y), Twinkle Brown_PIA_M_(중), Twinkle Brown_PIA_M_(중)(Y), Uniform Black_PIA_M_(중), Uniform Black_PIA_M_(중)(Y), Zhuangtong 6M_Dawn Brown_Muse_38%_(원), Zhuangtong 6M_Soft Pink_Muse_38%_(원), Zhuangtong 6M_Star Black_Muse_38%_(원), water water_(신규)PIA_M

분류: FRP_Color_Sph, 함수율: 43.0
  - 품명: APIA-(Look at me)_원형, Advance_CB_원형, Advance_CP_원형, Advance_EO_소사각, Advance_EO_원형, Advance_EO_은캡, BELLA M_Moon_14.5_(중), BELLA M_SATURN_14.5_(중), Bella Diamond_14.5-원형, Bella Diamond_14.5_중사각, Bella Glow_원형, Bella Glow_중사각, Bella-Contour_원형, Bella-Contour_중사각, Bella-Elite_14.5_중사각, Bella-Highlight_원형, Bella-Highlight_중사각, Bella-Natural_14.5_원형, Bella-Natural_14.5_중사각, Bella-Natural_중사각, Bella-SnowWhite_14.5_바이알, Bella-SnowWhite_14.5_원형, Bella-SnowWhite_14.5_중사각, CLC-10_원형, CLC-20_원형, CLC-30_원형, Celena Natural_중사각, Celena Shaded_중사각, Chuulens M_Mellow Greige_After Glow_(중), Cihan Elegance_중사각, Cihan Sophistic_중사각, Clalen 1M_Planet_Gray Moon, Clalen 1M_Planet_Mercury Blue, Clalen 1M_Planet_Venus Brown, Clalen Iris_BRW_3301_원형, Clalen Iris_GRA_2902_원형, Clalen Iris_GRA_3302_원형, DYE M_NOLA_14.5_중사각, DYE M_SILVER LACE_14.5_중사각, Hapa M_Bam Brown_Dear Deer_(중), Hapa M_First Love Kristin, Hapa M_Glazed Kristin_Choco, Kilala_43%_K20_(1년), Kilala_43%_K47_원형(3개월)_(NEW), Kilala_43%_M134_원형(6개월), Lesieur Crazy_중사각, MG M_Bluelight 43%_HYA_(중), MG M_Glow Hazel_GLAM_(중), MG M_Glow Hazel_원형, MG M_Perfect Brown_GLAM_(중), MG M_Perfect Brown_원형, MG M_Russian Brown_GLAM_(중), MG M_Russian Gray_GLAM_(중), NewFusion_소사각, NewFusion_원형, NewFusion_은캡, NewFusion_중사각, Rose_color_원형

분류: FRP_Color_Sph, 함수율: 45.0
  - 품명: Aquarella M_Castanha Brown_원형, Aquarella M_Noronha Blue_원형, Clalen 6M_Flower_Peach Brown, Clalen 6M_Flower_Star Rose, Clalen 6M_Flower_Water Gray, Crazy_원형, Crazy_은캡, Festival-II-Color_원형, Festival-II-Color_은캡, Hapa M_Playful blue_(중), Hapa M_Playful gray_(중), Kilala_M058-Color_원형, Kilala_M2-Color_원형, Meido DK Color_원형, Polaris-C_은캡

분류: FRP_Color_Sph, 함수율: 55.0
  - 품명: FLAAK (New Color) Sky Blue_M_(중), Freedom380_M_BL Metha_(소), Hapa M_Gray_First Love Kristin, Intensive 55_원형

분류: FRP_Color_Sph, 함수율: 
  - 품명: KBS-C_원형, KBS-C_은캡, MOODY 6M_B-yanmai_Nanodots_38%, MOODY 6M_U-lanmei_Nanodots_38%

분류: FRP_M/F, 함수율: 38.0
  - 품명: HD-X38_스크류, HD-X38_은캡

분류: FRP_M/F, 함수율: 55.0
  - 품명: Bi-focal_8.40_소사각, HD-X55_소사각

분류: FRP_M/F_Toric, 함수율: 43.0
  - 품명: HDX-T_스크류

분류: FRP_Sph, 함수율: 38.0
  - 품명: (UV)CS30_원형_8.60, CS30_원형_8.60, CS30_원형_8.90, PLUS30_초록, S38-2_스크류(B), S38-2_원형(Blue), S38_바이알(G), S38_은캡(BLUE TINT), Sincere_2week UV_Clear, US38_금캡

분류: FRP_Sph, 함수율: 45.0
  - 품명: S45_금캡

분류: FRP_Sph, 함수율: 55.0
  - 품명: Bandage_소사각, Metha_55_금캡, Metha_55_금캡_8.90, Metha_55_소사각, Metha_55_원형, Metha_55_중사각, S55_금캡, S55_소사각, S55_원형, SP_HD55_소사각, US55-2(M)_소사각, US55-2(M)_중사각

분류: FRP_Toric, 함수율: 38.0
  - 품명: T38_금캡, T38_금캡(UV포함)

분류: FRP_Toric, 함수율: 55.0
  - 품명: T55_소사각

분류: Si_1-Day_M/F, 함수율: 45.0
  - 품명: O2O2 D_Multifocal(Dk70)_White_K2_SMD

분류: Si_1-Day_Sph, 함수율: 45.0
  - 품명: O2O2 D_Spherical(DK70)_K2-SMD_White

분류: Si_FRP_Color_Sph, 함수율: 
  - 품명: O2O2 M_Mysti Gray EX_(중), O2O2 M_Mysti Khaki EX_(중), O2O2 M_Natural Brown EX_(중), O2O2 M_Natural Chocolat EX_(중)

분류: Si_FRP_M/F, 함수율: 45.0
  - 품명: O2O2 M_Multifocal(Dk70)_K2_SMD_(소), Silicon Sweet Multifocal_소사각

분류: Si_FRP_M/F, 함수율: 
  - 품명: O2O2 M_UV_Multifocal_(소)

분류: Si_FRP_Sph, 함수율: 45.0
  - 품명: O2O2 M_Spherical(DK70)_K2-SMD_(소), O2O2 M_Spherical(DK70)_K2-SMD_(중), O2O2 M_UV_Spherical_(소)

분류: Si_FRP_Toric, 함수율: 45.0
  - 품명: O2O2 M_UV_Toric_(소), O2O2 M_UV_Toric_SMD_(소), Silicon Sweet-T_소사각"
