기간,공장,공정코드,품명,신규분류요약,총_생산수량,총_양품수량,총_불량수량,전체_수율(%),로트별 종합수율
2026-01-07,C관(2공장),[20] 분리,PIA_Opal CP-1.25 Toric_UV,1-Day_Color_Toric,1495.0,1245.0,250.0,83.28,
2026-01-07,C관(2공장),[20] 분리,PIA_Strawberry Quartz CP-0.75 Toric_UV,1-Day_Color_Toric,3995.0,2870.0,1125.0,71.84,
2026-01-07,C관(2공장),[20] 분리,PIA_Strawberry Quartz CP-1.25 Toric_UV,1-Day_Color_Toric,3987.0,2885.0,1102.0,72.36,
2026-01-07,C관(2공장),[20] 분리,1-day_58_Kontaktni-HA,1-Day_Sph,135164.0,106647.0,28517.0,78.9,
2026-01-07,C관(2공장),[20] 분리,Sincere_2week UV_Clear,FRP_Sph,47314.0,35561.0,11753.0,75.16,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,(NEW)1-Day_iris_Suzy Gray,1-Day_Color_Sph,5585.0,5580.0,5.0,99.91,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,(NEW)ALICIA BROWN(근시),1-Day_Color_Sph,66913.0,66865.0,48.0,99.93,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_iris_Blue Moon,1-Day_Color_Sph,13170.0,13150.0,20.0,99.85,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_iris_JazzBlack,1-Day_Color_Sph,23436.0,23425.0,11.0,99.95,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_iris_Latin,1-Day_Color_Sph,4917.0,4915.0,2.0,99.96,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_iris_Rhapsody,1-Day_Color_Sph,35870.0,35835.0,35.0,99.9,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_iris_SoulBrown,1-Day_Color_Sph,153773.0,153655.0,118.0,99.92,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_iris_Suzy Gray,1-Day_Color_Sph,13514.0,13505.0,9.0,99.93,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,AKMA REAL FIT 3 Gray,1-Day_Color_Sph,12440.0,12435.0,5.0,99.96,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,ANW D_Dusk Beige_Dopewink 38%,1-Day_Color_Sph,11507.0,11490.0,17.0,99.85,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,ANW D_Through Beige_Dopewink 38%,1-Day_Color_Sph,12669.0,12645.0,24.0,99.81,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Alcon D_Chic Caramel_W4(APAC),1-Day_Color_Sph,3799.0,3785.0,14.0,99.63,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,BELLA D_Silent Gray 55%,1-Day_Color_Sph,8189.0,8175.0,14.0,99.83,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,BELLA D_Siren Bronze 55%,1-Day_Color_Sph,2346.0,2345.0,1.0,99.96,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,BELLA D_VENUS 55%,1-Day_Color_Sph,810.0,810.0,0.0,100.0,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Clalen D_Iris_Mocha Black,1-Day_Color_Sph,24143.0,24130.0,13.0,99.95,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Clalen D_Iris_Pure Choco,1-Day_Color_Sph,25870.0,25840.0,30.0,99.88,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Clalen D_Iris_Rosy Brown,1-Day_Color_Sph,40277.0,40240.0,37.0,99.91,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Clalen D_Iris_Shiny Brown,1-Day_Color_Sph,39839.0,39810.0,29.0,99.93,
